nomCaso,descripcion,millDesviados,idJuez,periodico,dictamen,
Gurtel, red de corrupcion politica vinculada al Partido Popular que funcionaba principalmente en las comunidades de Madrid y Valencia,70,1,El Pais,sin dictamen,
Barcenas,Derivacion del Gurtel y recoge una contabilidad B del PP,15,2,El Pais,sin dictamen,
Alqueria,Desviacion de fondos publicos,10,3,El Mundo,condenatorio,
Arcos,Malversacion de fondos publicos,15,4,El Pais,condenatorio,
Imelsa,Fraude fiscal blanqueo de capitales y falsedad documental,26,5,El Pais,condenatorio,
Astapa,Malversacion de fondos publicos y fraude fiscal,17,6,el ABC,pendiente,
Troya,Financiacion irregular y desviacion de fondos publicos,18,7,El Pais, condenatorio,
Punica,Blanqueo de capitales y trafico de influencias,30,8,El Mundo, pendiente,
Ibatur,Falsedad documental prevaricacion y Fraude fiscal,24,9,eldiario,condenatorio,
Harrag,Blanqueo de capitales cohecho y prevaricacion, 9,10,El Mundo,sin dictamen,
